shortcut-viewer-tool-correct-remove,Correct annotation by removing a freehand area,Corriger l'annotation en lui soustrayant un polygone à main levée,Correjir anotación eliminando un área a mano alzada,Annotatie verbeteren door er een polygoon uit de vrije hand van af te trekken,フリーハンド領域を削除してアノテーションを修正
shortcut-viewer-tool-delete,Delete selected annotation,Supprimer l'annotation sélectionnée,Eliminar la anotación seleccionada,Delete geselecteerde annotatie,選択したアノテーションを削除
shortcut-viewer-tool-fill,Fill annotation,Remplir l'annotation,Rellenar anotación,Annotatie invullen,アノテーションを塗りつぶす
shortcut-viewer-tool-freehand-line,Draw a freehand line,Dessiner une ligne à main levée,Dibujar una línea a mano alzada,Teken een lijn uit de vrije hand,フリーハンドで線を描く
shortcut-viewer-tool-freehand-polygon,Draw a freehand polygon,Dessiner un polygone à main levée,Dibujar un polígono a mano alzada,Teken een veelhoek uit de vrije hand,フリーハンドでポリゴンを描く
shortcut-viewer-tool-line,Draw a line,Dessiner une ligne,Dibujar una línea,Teken een lijn,線を描く
shortcut-viewer-tool-modify-delete-vertex,Delete a vertex with the modify tool,Supprimer un sommêt avec l'outil de modification,Eliminar un vértice con la herramienta de modificación,Een hoekpunt met het bewerkingsgereedschap verwijderen,修正ツールで頂点を削除
shortcut-viewer-tool-modify,Modify annotation,Modifier l'annotation,Modificar anotación,Annotatie bewerken,アノテーションを修正
shortcut-viewer-tool-move,Move annotation,Déplacer l'annotation,Mover anotación,Annotatie verplaatsen,アノテーションを移動
shortcut-viewer-tool-paste,Paste annotation,Coller l'annotation,,Annotatie plakken,アノテーションを貼り付け
shortcut-viewer-tool-point,Draw a point,Dessiner un point,Dibujar un punto,Teken een punt,点を描く
shortcut-viewer-tool-polygon,Draw a polygon,Dessiner un polygone,Dibujar un polígono,Teken een veelhoek,ポリゴンを描く
shortcut-viewer-tool-rectangle,Draw a rectangle,Dessiner un rectangle,Dibujar un rectángulo,Teken een rechthoek,矩形を描く
shortcut-viewer-tool-redo,Redo annotation action,Refaire une action sur les annotations,Rehacer acción de anotación,Een actie op annotaties opnieuw uitdoen,アノテーション操作をやり直す
shortcut-viewer-tool-rescale,Rescale annotation,Redimensionner l'annotation,,Annotatieformaat wijzigen,アノテーションを拡縮
shortcut-viewer-tool-review-accept,Accept selected annotation in review mode,Valider l'annotation sélectionnée en mode validation,Aceptar anotaciones seleccionadas en modo revisión,Valideer geselecteerde annotatie in reviewmodus,レビューモードで選択したアノテーションを承認
shortcut-viewer-tool-review-reject,Reject selected annotation in review mode,Rejeter l'annotation sélectionnée en mode validation,Rechazar la anotación seleccionada en modo revisión,Weiger geselecteerde annotatie in reviewmodus,レビューモードで選択したアノテーションを却下
shortcut-viewer-tool-review-toggle,Toggle review layer in review mode,Afficher/masquer le calque de validation en mode validation,Alternar capa de revisión en modo revisión,Toon/verberg validatielaag in reviewmodus,レビューモードにおけるレビューレイヤーの切り替え
shortcut-viewer-tool-rotate,Rotate annotation,Pivoter l'annotation,Rotar anotación,Annotatie roteren,アノテーションを回転
shortcut-viewer-tool-select,Select annotation,Sélectionner une annotation,Seleccionar anotación,Selecteer een annotatie,アノテーションを選択
shortcut-viewer-tool-undo,Undo annotation action,Annuler une action sur les annotations,Deshacer acción de anotación,Een actie op annotaties annuleren,アノテーション操作を元に戻す
shortcuts,Shortcuts,Raccourcis,Atajos,Snelkoppelingen,ショートカット
similar-annotations,Similar annotations,Annotations similaires,Anotaciones similares,Soortgelijke annotaties,類似アノテーション
size,Size,Taille,Tamaño,Maat,サイズ
slice,Slice,Plan,,Slice,スライス
slide-preview-not-available,No slide preview,Aperçu de la lame non disponible,Sin vista previa de cristal,Bladvoorbeeld niet beschikbaar,スライドプレビューなし
slide-preview,Slide preview,Aperçu de la lame,Vista previa de cristal,Slide preview,スライドプレビュー
slide-preview-of,Slide preview of {filename},Aperçu de la lame {filename},Vista previa de cristal de {filename},Slide-voorbeeld van {filename},{filename} のスライドプレビュー
small,Small,Petit,Pequeña,Small,小
source-code-info,"Cytomine is an open-source software licensed under Apache 2.0, with its source code available on our {link}.","Cytomine est un logiciel open-source sous licence Apache 2.0, dont le code source est disponible sur notre {link}.","Cytomine es un software de código abierto con licencia Apache 2.0, cuyo código fuente está disponible en nuestro {link}.","Cytomine is open-source software met een Apache 2.0-licentie, waarvan de broncode beschikbaar is op onze {link}.",Cytomineはオープンソースソフトウェアであり、Apache 2.0ライセンスのもとで公開されています。ソースコードは{link}からご覧いただけます。
source,Source,Source,Origen,Bron,ソース
source-code,Source code,Code source,Código fuente,Source code,ソースコード
spatial-projection,Spatial projection,Projection spatiale,Proyección espacial,Ruimtelijke projectie,空間投影
sponsors,Sponsors,Sponsors,Patrocinadores,Sponsoren,スポンサー
start-upload,Start upload,Lancer l'upload,Iniciar la carga,uploaden beginnen,アップロード開始
statistics,Statistics,Statistiques,Estadísticas,Statistieken,統計
status-comment,Status comment,Commentaire,Comentario,Opmerking,ステータスコメント
status,Status,Statut,Estado,Status,ステータス
step,Step,Saut,,Stap,ステップ
storage,Storage,Stockage,Almacenamiento,storage,ストレージ
string,String,Chaîne de caractères,Cadena de caracteres,Reeks tekens,文字列
success,Success,Réussi,Finalizado con éxito,Geslaagd,成功
successful-registration,Your account was successfully created. Check your inbox to enable it.,Votre compte a été créé avec succès. Consultez votre boîte mail pour l'activer.,Su cuenta fue creada exitosamente. Revise su bandeja de entrada para activarla.,Uw account is succesvol aangemaakt. Controleer uw mailbox om deze te activeren.,アカウントが正常に作成されました。メールボックスを確認して有効化してください。
suggested-terms,Suggested Terms,Terme suggéré,Términos sugeridos,Voorgestelde termen,候補用語
super-admin,Super admin,Super admin,Super administrador,Super admin,スーパー管理者
system,System,Système,Sistema,Systeem,システム
tags,Tags,Tags,Etiquetas,Tags,タグ
temporal-spectra,Temporal spectra,Spectre temporel,Espectros temporales,Tijdelijke spectra,時間スペクトル
term,Term,Terme,Término,Term,用語
terms-new-annotation,Term(s) to associate to new annotations,Terme(s) à associer aux nouvelles annotations,Término(s) a asociar con nuevas anotaciones,Term(en) om te associëren met nieuwe annotaties,新しいアノテーションに関連付ける用語
terms,Terms,Termes,Términos,termen,用語
the-term,term,le terme,,de term,用語
time-period,Time period,Période de temps,Periodo de tiempo,Periode,期間
to-convert,To convert,À convertir,A convertir,Te converteren,変換待ち
to,To,Jusqu'à,Hasta,Tot,宛先
to-deploy,To deploy,À déployer,Desplegar,Te implementeren,デプロイ待ち
too-much-categories-to-display,There are too much categories to display ({toDisplay}). Only {displayed} first ones are shown.,,,Er zijn te veel categorieën om weer te geven ({toDisplay}). Alleen {weergegeven} eerste worden weergegeven.,表示するカテゴリが多すぎます（{toDisplay}件）。最初の{displayed}件のみ表示しています。
total,Total,Total,Total,Totaal,合計
tracks-new-annotation,Track(s) to associate to new annotations,Trace(s) à associer à de nouvelles annotations,,Track(en) om te associëren met nieuwe annotaties,新しいアノテーションに関連付けるトラック
tracks,Tracks,Traces,Pistas,Tracks,トラック
type,Type,Type,Tipo,Annotatie type,タイプ
um-per-pixel,µm/pixel,µm/pixel,µm/píxel,µm/pixel,µm/pixel
um,µm,µm,µm,µm,µm
um-per-slice,µm/slice,µm/plan,,µm/vlak,µm/slice
uncategorized,Uncategorized,Non classé,Sin categoría,Uncategorized,未分類
uncompressed,Uncompressed,Décompressé,Sin comprimir,Uitgepakt,非圧縮
undo-redo,Undo/Redo,Annuler/Refaire,Deshacer/Rehacer,Undo/Redo,元に戻す／やり直す
undo,Undo,Annuler,Deshacer,Annuleren,元に戻す
unexpected-error-info-message,An unexpected error occurred,Une erreur inattendue s'est produite,Se ha producido un error inesperado,Er is een onverwachte fout opgetreden,予期しないエラーが発生しました。
university-of-liege,University of Liège,Université de Liège,Universidad de Lieja,Universiteit van Luik,リエージュ大学
unknown,Unknown,Inconnu,Desconocido,Onbekend,不明
unlink,Unlink,Dissocier,Desconectar,Ontkoppelen,リンク解除
unpacked,Unpacked,Décompressé,,Uuitgepakt,展開済み
unpacking,Unpacking,Décompression en cours,,Decompressie bezig,展開中
update-tag,Update tag,Modifier un tag,Actualizar etiqueta,Een tag bewerken,タグを更新
update-term,Update term,Modifier un terme,Término de actualización,Een term bewerken,用語を更新
update-track,Update track,Modifier une trace,,Wijzig een  track,トラックを更新
update-user,Update user,Modifier un utilisateur,Actualizar usuario,Wijzig een user,ユーザーを更新
updated,Updated,Mis à jour,Actualizado,Updated,更新済み
upload-error,Upload error,Erreur d'upload,Error al cargar,upload fout,アップロードエラー
upload,Upload,Upload,Subir,Uploaden,アップロード
upload-all,Upload all,Tout téléverser,Subir todo,Alles uploaden,すべてアップロード
upload-cancelled,Upload cancelled,Téléversement annulé,Subida cancelada,Upload geannuleerd,アップロードがキャンセルされました。
upload-completed,Upload completed,Téléversement terminé,Subida completada,Upload voltooid,アップロードが完了しました。
upload-placeholder,Drop zip files here or click to browse, Déposez les fichiers zip ici ou cliquez pour parcourir, Suelte los archivos zip aquí o haga clic para explorar, Plaats zipbestanden hier of klik om te bladeren,ここにZIPファイルをドロップするか、クリックして参照してください。
upload-support,Supports multiple file selection, Prend en charge la sélection de plusieurs fichiers, Admite la selección de varios archivos, Ondersteunt het selecteren van meerdere bestanden,複数ファイルの選択に対応
uploaded-images,Images uploaded,Images téléversées,,Geüploade afbeeldingen,アップロード済み画像
use-existing-image-group,Use existing image group,Utiliser un groupe d'images existant,Usar grupo de imágenes existente,Gebruik bestaande afbeeldingsgroep,既存の画像グループを使用
use-existing-ontology,Use existing ontology,Utiliser une ontologie existante,Usar ontología existente,Gebruik een bestaande ontologie,既存のオントロジーを使用
used-in-project-no-access,Used in projects that you are not allowed to see,Utilisée dans des projets auxquels vous n'avez pas accès,Usado en proyectos que no puedes ver,Wordt gebruikt in projecten waartoe u geen toegang heeft,アクセス権のないプロジェクトで使用されています。
